Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
15398	212	Cylisticus convexus (De Geer, 1778)	Spilaio Voudli	88	Beron 2016|Schmalfuss 1979|Vandel 1946	706|317|112
30269	212	Cylisticus convexus (De Geer, 1778)	Spilaio Avras	183	Beron 2016|Vandel 1946|Schmalfuss 1979	706|112|317
5063	213	Cyphophthalmus paragamiani Karaman, 2009	Spilaio Katafygi	116	Karaman 2009	625
14401	916	Cypria ophtalmica (Jurine, 1820)	Spilaio Tzani Spilios	136	Klie 1941|Beron 2016	104|706
15408	214	Cyrtocarenum cunicularium (Olivier, 1811)	Spilaio Peristera	184	Brignoli 1979a|Roewer 1959	320|170
30926	215	Dactylochelifer latreillei (Leach, 1817)	Spilaio Katholikou	21	Wolf 1938|Wolf 1937b|Beier 1931a	97|92|65
5294	216	Dailognatha caraboides Solier, 1835	Spilaio Kyklopon	127	Lindberg 1955d|Beron 2016	145|706
15411	217	Daphnia longispina (O. F. Müller, 1776)	Spilaio Drakou	106	Lindberg 1955d|Beron 2016	145|706
21873	218	Daphniola magdalenae Falniowski, 2015	Spilaio Melissotrypa	185	Falniowski & Sarbu 2015	691
13542	219	Dasumia amoena (Kulczynski, 1897)	Cave "Polu Trypes"	61	Beron 2016|Reimoser 1930	706|61
4352	220	Dasumia sp.	Spilaio Kontylos	92	Alexiou et al. 2014	681
20928	221	Daudebardia brevipes (Draparnaud, 1805)	Spilaio Geraniou	148	Riedel 1977|Riedel 1992|Beron 2016	281|465|706
13866	222	Daudebardia rufa (Draparnaud, 1805)	Spilaio Panos	8	Riedel 1992|Riedel 1978	465|304
13867	222	Daudebardia rufa (Draparnaud, 1805)	Spilaio Geraniou	148	Beron 2016|Riedel 1992|Riedel 1977	706|465|281
15416	223	Dendarus messenius (Brullé, 1832)	Spilaio Apano Skalas	55	Beron 2016|Lindberg 1955d	706|145
15417	223	Dendarus messenius (Brullé, 1832)	Spilaio Isvoron	72	Beron 2016|Lindberg 1955d	706|145
6461	224	Dendarus moesiacus (Mulsant & Rey, 1854)	Spilaia Faias Petras	186	Lindberg 1955d	145
22658	225	Dendrobaena alpina (Rosa, 1884)	Spilaio Idaio Antro	124	Beron 2016|Cernosvitov 1938b	706|96
15425	226	Dendrobaena byblica (Rosa, 1893)	Spilaio Paparadon	56	Beron 2016	706
15427	227	Dendrodrilus rubidus (Savigny, 1826)	Spilaio Apano Skalas	55	Beron 2016|Rémy & Schweitzer 1939	706|99
