Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
38412	758	Scutigera coleoptrata (Linnaeus, 1758)	Spilaio Mavri Trypa	10	Beron 2016|Stoev 2002	706|551
40766	758	Scutigera coleoptrata (Linnaeus, 1758)	Spilaio Evripidi	117	Beron 2016|Stoev 2002	706|551
47364	758	Scutigera coleoptrata (Linnaeus, 1758)	Spilaio Korykeio Antro	51	Alexiou et al. 2014	681
19342	759	Scutigerella immaculata (Newport, 1845)	Spilaio Pestereta	188	Beron 2016|Lindberg 1955d	706|145
24463	760	Scytodes thoracica (Latreille, 1802)	Spilaio Dimitras Melainas	91	Beron 2016|Brignoli 1979a|Brignoli 1977|Bosmans & Chatzaki 2005	706|320|283|579
24465	760	Scytodes thoracica (Latreille, 1802)	Spilaio Kamilari	74	Roewer 1959|Brignoli 1979a|Beron 2016|Bosmans et al. 2013|Bosmans & Chatzaki 2005	170|320|706|678|579
24466	760	Scytodes thoracica (Latreille, 1802)	Spilaio Nychteridon	70	Bosmans & Chatzaki 2005|Brignoli 1984|Beron 2016	579|389|706
24467	760	Scytodes thoracica (Latreille, 1802)	Spilaio Trypa tou Kalyvaki	174	Bosmans & Chatzaki 2005|Brignoli 1984|Beron 2016	579|389|706
27323	760	Scytodes thoracica (Latreille, 1802)	Spilaio Katsampa	2	Bosmans & Chatzaki 2005|Brignoli 1977	579|283
47949	760	Scytodes thoracica (Latreille, 1802)	Spilaio Profiti Ilia	142	Brignoli 1984|Bosmans & Chatzaki 2005|Beron 2016	389|579|706
42126	761	Segestria florentina (Rossi, 1790)	Spilaio Ntaveli	128	Bosmans & Chatzaki 2005|Roewer 1928|Drensky 1936|Wolf 1937b|Wolf 1938|Brignoli 1979a|Beron 2016	579|42|84|92|97|320|706
42865	761	Segestria florentina (Rossi, 1790)	Spilaio Agias Sofias	22	Brignoli 1979a|Beron 2016|Roewer 1928|Bosmans et al. 2013|Bosmans & Chatzaki 2005	320|706|42|678|579
25633	762	Segestria sbordonii Brignoli, 1984	Spilaio Kromiri	273	Bosmans & Chatzaki 2005|Bosmans et al. 2013|Brignoli 1984|Beron 2016	579|678|389|706
26967	763	Segestria senoculata (Linnaeus, 1758)	Spilaio Megali Grava	4	Beron 2016|Brignoli 1979a|Brignoli 1977|Bosmans & Chatzaki 2005	706|320|283|579
47819	106	Sellnickochthonius immaculatus (Forsslund, 1942)	Spilaio Nymfon	132	Beron 2016|Mahunka 1979	706|315
30759	764	Serradium sbordonii Strasser, 1976	Spilaio Sfentoni Trypa	26	Beron 2016|Strasser 1976|Felesaki et al. 2010	706|279|636
