ID	Short	Title	Year	Section
943	Paragamian 2006	Speleological researches at the islands of Fournoi	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 41-44.
944	Paragamian et al. 2006	Speleological researches at Kalamafka, Lasithi, Kriti	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 99-105.
945	Paraskevaidis 1958	Caves and Karst	1958	To Vouno Greek Mountaineering Club. 4:98–102.
946	Patramanis 1992a	The cave “Acherospilios” of Korfes, Malevizi, Kriti	1992	Bull. Soc. Speleol. Grèce 20:219.
947	Patramanis 1992b	The vertical cave “Mathia Metochi” of Mathia, Irakleio, Kriti	1992	Bull. Soc. Speleol. Grèce 20:218.
948	Pavlidis 1975	The cave “Tou Papa i Trypa” or "Trypa Oikonomou" (CRNr 4466)	1975	Bull. Soc. Speleol. Grèce 13:155–156.
949	Pavlidis 1979	Speleological researches at North-West Greece	1979	Bull. Soc. Speleol. Grèce 16:104–164.
950	Pavlopoulos 1952	The cave Boulasiki (CRNr 250)	1952	Bull. Soc. Speleol. Grèce
951	Perdikaki et al. 2006	The caves “Atsinganospilios” and “Marido(n)” and the pothole “Voreini Latsida” at Adrianos, Agios Nikolaos (Lasithi, Kriti)	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 111-114.
952	Petrocheilos 1937	The cave of Andros, near Aladinos	1937	Bull. Soc. Speleol. Grèce
953	Petrocheilos 1951a	Caves of Mani	1951	Bull. Soc. Speleol. Grèce 1:5–13.
954	Petrocheilos 1951b	Eftastomo of Parnassos	1951	Bull. Soc. Speleol. Grèce 1:29–42.
955	Petrocheilos 1952a	Speleological researches at Kato Nevrokopi	1952	Bull. Soc. Speleol. Grèce Hellenic Speleological Society.
956	Petrocheilos 1952b	Speleological researches at Attiki	1952	Bull. Soc. Speleol. Grèce 1:149–185.
957	Petrocheilos 1952c	The pothole “Stoicheiomeni”	1952	Bull. Soc. Speleol. Grèce 1:274–276.
958	Petrocheilos 1952d	The cave Ellinospilo	1952	Bull. Soc. Speleol. Grèce 1:186–189.
959	Petrocheilos 1953a	Speleological researches at Mani	1953	Bull. Soc. Speleol. Grèce 2:9–25.
960	Petrocheilos 1953b	The cave "Kitsou"	1953	Bull. Soc. Speleol. Grèce 2:96–99.
961	Petrocheilos 1953c	The cave of Chavara	1953	Bull. Soc. Speleol. Grèce 2:93–95.
962	Petrocheilos 1953d	Hydrospeleological researches at Mylopotamos, Kriti	1953	Bull. Soc. Speleol. Grèce 2:137–147.
963	Petrocheilos 1955	The cave Agia Sofia of Mylopotamos, Kythira (Ar 16)	1955	Bull. Soc. Speleol. Grèce 3:87–96.
964	Petrocheilos 1956a	The cave of Keratea	1956	Bull. Soc. Speleol. Grèce 3:143–153.
965	Petrocheilos 1956b	The cave of Kipina	1956	Bull. Soc. Speleol. Grèce 3:165–173.
