Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
5050	79	Armadillidium werneri Strouhal, 1927	Spilaio Palaiokastritsas	115	Strouhal 1956	148
26948	79	Armadillidium werneri Strouhal, 1927	Spilaio Megali Grava	4	Strouhal 1966	205
15205	80	Armadillo officinalis Duméril, 1816	Spilaio Spiliara Almyrou	114	Schmalfuss 1972b	248
15207	81	Asellus aquaticus (Linnaeus, 1758)	Spilaio Zoodochou Pigis I	71	Verovnik et al. 2005|Beron 1985|Di Russo & Rampini 2001|Gasparo 2009|Beron 2016	1184|399|539|629|706
39470	919	Astacus astacus (Linnaeus, 1758)	Spilaio Maara	118	Koutrakis et al. 2003	1185
40377	82	Atheta macroptera Bernhauer, 1913	Spilaio Apano Skalas	55	Rémy 1951|Beron 2016	118|706
3026	83	Atheta spelaea (Erichson, 1839)	Spilaio Paparadon	56	Lindberg 1955b|Beron 2016	141|706
15215	84	Attheyella crassa (G.O. Sars, 1863)	Spilaio Panos	8	Lindberg 1953a|Lindberg 1955d|Beron 2016	121|145|706
15216	84	Attheyella crassa (G.O. Sars, 1863)	Spilaio Zoodochou Pigis I	71	Gasparo 2009|Beron 2016	629|706
15217	84	Attheyella crassa (G.O. Sars, 1863)	Spilaio Katafygi	116	Beron 2016|Lindberg 1953a|Lindberg 1955d	706|121|145
41780	85	Atticiella lindbergi Coiffait, 1955	Spilaio Koutouki	86	Coiffait 1955|Lindberg 1955b|Beron 2016	134|141|706
2282	86	Ausobskya sp.	Spilaio Agias Triadas	37	Beron 2016	706
40761	86	Ausobskya sp.	Spilaio Evripidi	117	Beron 2016	706
39471	896	Austropotamobius torrentium (Schrank, 1803)	Spilaio Maara	118	Koutrakis et al. 2005|Paragamian 1993|Koutrakis et al. 2003|Koutrakis et al. 2007|Subchev et al. 2007	583|1176|1185|601|602
9673	87	Autophila anaphanes Boursin, 1940	Lavrio mine galleries	5	Hanauer 1976	273
37112	88	Baetis sp.	Spilaio Melidoniou	58	Verrier 1956	155
39472	90	Balcanodiscus beroni Riedel, 1995	Spilaio Maara	118	Riedel 1995|Riedel 1996|Beron 2016	498|502|706
35259	91	Balcanodiscus cerberus Riedel, 1985	Spilaio Maroneias	80	Beron et al. 2004|Erőss et al. 2011|Riedel 1996|Riedel 1992|Reischütz 1988|Riedel 1988b|Reischütz 1986|Riedel 1985a|Paragamian et al. 2004|Beron 2016	574|648|502|465|439|438|419|406|1178|706
8403	92	Balcanodiscus difficilis Riedel, 1988	Spilaio Drakotrypa	38	Beron 2016|Riedel 1996|Riedel 1992|Riedel 1988b|Riedel 1985a	706|502|465|438|406
35019	93	Balcanodiscus frivaldskyanus (Rossmassler, 1842)	Spilaio Koufovounou	97	Beron et al. 2004|Beron 2016|Riedel 1996|Riedel 1992|Riedel 1988b|Riedel 1985a|Riedel 1969	574|706|502|465|438|406|218
38895	94	Balcanodiscus sp.	Spilaio Alistratis	59	Beron 2016	706
32062	95	Balkanopetalum bulgaricum Stoev & Enghoff, 2003	Spilaio Agiou Georgiou	454	Stagl & Stoev 2005	580
38896	95	Balkanopetalum bulgaricum Stoev & Enghoff, 2003	Spilaio Alistratis	59	Stagl & Stoev 2005|Beron 2016	580|706
31630	96	Balkanopetalum graecum Stoev & Enghoff, 2003	Spilaio Folia Drakou	119	Beron et al. 2011|Stoev & Enghoff 2003|Beron 2016	1208|555|706
36878	96	Balkanopetalum graecum Stoev & Enghoff, 2003	Spilaio  Pachnis	121	Beron et al. 2011|Beron 2016|Stoev & Enghoff 2003	1208|706|555
39182	96	Balkanopetalum graecum Stoev & Enghoff, 2003	Spilaio Trypa Pachnis	120	Beron 2016|Beron et al. 2011	706|1208
39473	920	Barbus cyclolepis Heckel, 1837	Spilaio Maara	118	Koutrakis et al. 2003	1185
23349	97	Barusia laconica (Brignoli, 1974)	Spilaio Agias Sofias	36	Bosmans & Chatzaki 2005|Naumova et al. 2016|Beron 2016|Brignoli 1979b|Brignoli 1979a	579|708|706|323|320
31087	97	Barusia laconica (Brignoli, 1974)	Spilaio Glyfadas Dirou	29	Bosmans & Chatzaki 2005|Naumova et al. 2016|Brignoli 1974b|Brignoli 1979a|Brignoli 1979b|Beron 2016	579|708|262|320|323|706
32250	98	Basilia mongolensis Theodor, 1966	Spilaio Katholikou	21	Ševčík et al. 2013	665
17398	99	Bathytropa granulata Aubert & Dollfus, 1890	Spilaio Melidoniou	58	Gasparo 2004a	562
17399	99	Bathytropa granulata Aubert & Dollfus, 1890	Spilaio Fantaxospiliara	189	Beron 2016|Vandel 1968	706|213
