Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
63771	866	Troglophilus zoiai Di Russo, Rampini & Cobolli, 2014	Spilaio Mayer	104	Allegrucci et al. 2017	723
63772	866	Troglophilus zoiai Di Russo, Rampini & Cobolli, 2014	Spilaio Neraidospilia	94	Allegrucci et al. 2017|Alexiou et al. 2014	723|681
63773	866	Troglophilus zoiai Di Russo, Rampini & Cobolli, 2014	Spilaio Drakospilia	442	Alexiou et al. 2014|Allegrucci et al. 2017|Di Russo et al. 2014	681|723|685
48342	867	Trogulus graecus Dahl, 1903	Spilaio Petala	168	Beron 2016|Roewer 1962	706|183
57354	868	Trogulus megaligrava Schönhofer, 2013	Spilaio Megali Grava	4	Schönhofer et al. 2013|Schönhofer 2013	674|670
71664	869	Tropocyclops prasinus (Fischer, 1860)	Spilaio Panagias Arkoudiotisas	68	Chappuis 1929|Chappuis 1933|Wolf 1937b|Wolf 1938|Lindberg 1956|Beron 2016	52|74|92|97|151|706
71665	869	Tropocyclops prasinus (Fischer, 1860)	Spilaio Agias Sofias	22	Lindberg 1956|Beron 2016	151|706
71666	869	Tropocyclops prasinus (Fischer, 1860)	Spilaio Tzani Spilios	136	Lindberg 1953a|Beron 2016|Franke 1989	121|706|1264
71667	869	Tropocyclops prasinus (Fischer, 1860)	Spilaio Melidoniou	58	Chappuis 1929|Beron 2016|Chappuis 1933|Wolf 1937b|Wolf 1938|Lindberg 1956|Franke 1989|Lindberg 1953a	52|706|74|92|97|151|1264|121
71668	869	Tropocyclops prasinus (Fischer, 1860)	Spilaio Melissotrypa	185	Popa et al. 2019	1292
44402	355	Trypocopris alpinus (Sturm & Hagenbach, 1825)	Spilaio Nymfolyptou	50	Lindberg 1955d	145
58501	982	Tsoukatosia christinae A. Reischütz & P.L. Reischütz, 2003	Spilaio Agion Anargyron	474	Reischütz & Reischütz 2003|Reischütz et al. 2016	1266|716
71599	870	Turcolana lepturoides Prevorčnik, Konec & Sket, 2016	Spilaio Melissotrypa	185	Prevorčnik et al. 2016|Popa et al. 2019	711|1292
63393	949	Tychobythinus brachati Besuchet, 2008	Spilaio Panagias Kakoperatianis	141	Hlaváč et al. 2008|Beron 2016|Besuchet 2008|Assing 2015|Assing 2017	614|706|618|1230|1220
63379	871	Tychobythinus naxius Besuchet, 1993	Spilaio Za	20	Hlaváč et al. 2008|Besuchet 1993|Beron 2016	614|472|706
71759	1008	Typhloiulus gellianae Makarov & Radja, 2006	Spilaio Melissotrypa	185	Popa et al. 2019	1292
56919	872	Typhloiulus hauseri Strasser, 1974	Spilaio Fytidi	39	Strasser 1974|Vagalinski et al. 2015	258|701
32425	873	Typhloiulus rhodopinus Vagalinski, Stoev & Enghoff, 2015	Spilaio Agion Theodoron	345	Beron 2016|Vagalinski et al. 2015	706|701
68491	874	Typhloiulus sp.	Spilaio Drakotrypia	152	Strasser 1974|Beron 2016	258|706
19964	875	Tyto alba (Scopoli, 1769)	Spilaio Spiliara	123	Beron 2016|Paragamian & Zivanovic 1992	706|464
22328	875	Tyto alba (Scopoli, 1769)	Spilaio Vigla	309	Hanak et al. 2001|Pieper 1977	537|286
55016	875	Tyto alba (Scopoli, 1769)	Spilaio Agias Paraskevis	13	Beron 2016|Paragamian & Zivanovic 1992|Pieper 1977|Benda et al. 2008	706|464|286|616
59145	875	Tyto alba (Scopoli, 1769)	Spilaio Agias Sofias	22	Pieper 1977	286
67888	875	Tyto alba (Scopoli, 1769)	Spilaio Chonos Sarchou	90	Hanak et al. 2001|Pieper 1977	537|286
47760	876	Uloborus plumipes Lucas, 1846	Spilaio Drakoneras	126	Bosmans & Chatzaki 2005|Roewer 1959|Brignoli 1979a|Beron 2016	579|170|320|706
69909	876	Uloborus plumipes Lucas, 1846	Spilaio Neraidospilios 	113	Bosmans et al. 2013	678
43841	877	Vitrea contracta (Westerlund, 1871)	Spilaio Diktaio Antro	16	Riedel 1992	465
44073	877	Vitrea contracta (Westerlund, 1871)	Spilaio Geraniou	148	Riedel 1977|Riedel 1992	281|465
47853	877	Vitrea contracta (Westerlund, 1871)	Spilaio Kaiadas	133	Riedel 1992	465
71110	877	Vitrea contracta (Westerlund, 1871)	Varathro Megalos Votsos	149	Riedel 1992	465
57319	878	Vitrea klemmi L. Pintér, 1972	Spilaio Raos tou Choutra	144	Beron 2016|Riedel 1981a	706|342
65736	879	Vitrea neglecta Damjanov & L. Pintér, 1969	Spilaio Maara	118	Georgiev 2016	709
64425	880	Vitrea ossaea L. Pintér, 1983	Spilaio Profiti Ilia	142	Beron 2016|Riedel 1996|Riedel 1992|Pinter 1983	706|502|465|369
71111	881	Vitrea riedeli Damjanov & L. Pintér, 1969	Varathro Megalos Votsos	149	Riedel 1992	465
57322	882	Vitrea schuetti L. Pintér, 1972	Spilaio Ntaveli	128	Beron 2016|Riedel 1992|Pinter 1972	706|465|240
38922	883	Vulpes vulpes (Linnaeus, 1758)	Spilaio Alistratis	59	Beron 2016	706
68882	967	Walckenaeria monoceros (Wider, 1834)	Spilaio Agiou Ioanni	1	Tanasevitch 2011	645
47686	884	Winklerites sp.	Spilaio Idaio Antro	124	Vigna Taglianti 1980|Beron 2016	326|706
69910	884	Winklerites sp.	Spilaio Neraidospilios 	113	Osella 1980	325
70923	911	Xerocrassa lasithiensis Hausdorf & Sauer, 2009	Spilaio Milatou	15	Hausdorf & Sauer 2009	630
29822	885	Xysticus kochi Thorell, 1872	Spilaio Koutrouli	52	Bosmans et al. 2013|Roewer 1959|Beron 2016|Bosmans & Chatzaki 2005	678|170|706|579
48097	886	Zabrus sp.	Cave "Pozzo A7"	147	Beron 2016|Bonzano & Calandri 1984	706|387
37131	887	Zacheus crista (Brullé, 1832)	Spilaio Zeston Neron	270	Roewer 1959	170
37894	887	Zacheus crista (Brullé, 1832)	Spilaio Isvoron	72	Roewer 1959	170
51186	887	Zacheus crista (Brullé, 1832)	Spilaio Irakleitsas	127	Roewer 1959	170
