ID	Short	Title	Year	Section
356	Boudou-Saltet 1982	Les Dolichopodes (Orth. Rhaph.) de Grèce X. Le cycle biologique (en élevage) des espèces D. petrochilosi et D. thasosensis	1982	Biol. gallo-hellen., 9 (2): 277-284.
357	Brignoli 1982	Contribution à la connaissance des Filistatidae paléarctiques (Araneae)	1982	Rev. Arachnol., 4: 65-75.
358	Riedel & Subai 1982	Beschreibung einer neuen Oxychilus - Art aus Kreta nebst neuen Angaben über Oxychilus ionicus (Gastropoda, Zonitidae)	1982	Arch. Molluskenk., 112 (1/6): 21-26.
359	Tabacaru 1983	Recherches zoogéographiques sur les diplopodes du sud-est de l΄ Europe et du Proche-Orient (II-Suite)	1983	Trav. Inst. Speol. "Emil Racovitza", 22: 9-20.
360	Iliopoulou-Georgudaki 1983a	A record of Chiropterofauna of the Greek caves	1983	 Proceedings of the International Meeting on the show caves and their problems. Publisher, Athens, September 1-3, 1983. pp. 224-228.
361	Reischütz 1983	Ein Beitrag zur Kenntnis der Molluskenfauna der Insel Thasos (Griechenland)	1983	Ann. Naturhist. Mus. Wien, 85 (B): 35-39.
362	Boudou-Saltet 1983	Les Orthoptères cavernicoles de Grèce (leur présence dans les grottes aménagées)	1983	 International meeting on the show caves and their problems. Publisher, Athens, September 1-3, 1983. pp. 244-246.
1189	Condé 1987	Les Palpigrades du nouveau monde: état des connaissances.	1987	Mémoires de la Société Royale Belge d'Entomologie, 33: 67-73.
364	Riedel 1983	Manche wenig bekannte und neue Oxychilus - Arten aus Griechenland (Gastropoda, Zonitidae)	1983	Ann. Zool. (Wars.), 37 (7): 269-288.
366	Pesce & Maggi 1983	Ricerche faunistiche in acque sotterranee freatiche della Grecia meridionale ed insulare e stato attuale della conoscenza sulla stigofauna di Grecia	1983	Natura, Milano, 74 (1-2): 15-73.
367	Pinter & Riedel 1983	Über eine neue Lindbergia - Art vοn Kerkyra, Griechenland (Gastropoda: Zonitidae)	1983	Zool. Meded., Leiden, 57 (11): 101-103.
368	Casale 1983	Nuovi Carabidae e Catopidae endogei e cavernicoli dei Balcani meridionali e dell΄ Asia Minore (Coleoptera)	1983	Boll. Mus. reg. Sci. nat. Torino, 1 (2): 243-278.
369	Pinter 1983	Zwei neue Vitrea-Arten (Gastropoda, Zonitidae)	1983	Acta Zool. Acad. Sci. Hung., 29: 219-222.
370	Osella 1983	Amaurorrhinus hauseri n. sp. del Peloponneso (Coleoptera: Curculionidae: Cossoninae)	1983	Rev. suisse Zool., 90 (3): 533-536.
371	Deeleman-Reinhold 1983	The genus Histopona Thorel (Araneae, Agelenidae), with description of two new cave-dwelling species	1983	Mem. Biospeol., 10: 325-338.
372	Iliopoulou-Georgudaki 1983b	Bats parasites and their relations to human health	1983	 Proceedings of the International Meeting on the show caves and their problems. Publisher, Athens, September 1-3, 1983. pp. 237-243.
373	Fischhuber 1984	Duvalius schoenmanni n.p., ein neuer cavernicoler Käfer aus Griechenland (Col. Trechinae)	1984	Die Höhle, 35: 4-8.
374	Popov 1984	Le genre Discoptila Pant. (Orthoptera, Gryllidae)	1984	Biol. gallo-hellen., 11 (1): 65-78.
375	Iliopoulou-Georgudaki 1984	Intraspecific and interpopulation morphologic variation in the sharp-eared bat, Myotis blytii (Tomes, 1857) (Chiroptera: Vespertilionidae), from Greece 	1984	Bonn. Zool. Beitr., 35 (1/3): 15-24.
376	Riedel 1984	Eine neue Lindbergia - Art von der Insel Thira, Griechenland (Gastropoda, Stylommatophora, Zonitidae)	1984	Malak. Abh. Mus. Tierkd., Dresden, 10 (1): 1-4.
377	Casale & Vigna Taglianti 1984	Un nuovo Duvalius del Peloponneso (Coleoptera, Carabidae)	1984	Fragm. Entomol., 17 (2): 301-308.
378	Calandri 1984	Le grotte di Kipina (Epiro, Grecia ace.)	1984	Boll. gruppo spel. Imp. CAI., 22: 8-14.
379	Mauriès & Karamaouna 1984	Myriapodes-Diplopodes nouveaux et peu connus des îles Naxos, Paros et Antiparos (Cyclades, Grèce)	1984	Biol. gallo-hellen., 11 (1): 51-59.
380	Bonzano 1984	La fauna della Spylià Monasteri Panaghia (Kipina, Epiro, Grecia)	1984	Boll. gruppo spel. Imp. CAI., 14 (22): 15-16.
381	Casale 1984	Una nuova Muelleriella della Grecia settentrionale (Coleoptera, Catopidae, Bathysciinae)	1984	Ann. Mus. civ. St. nat. "G. Doria", 6 (253): 1-6.
382	Mauriès 1984a	Ecologie et biogéographie des Cyclades. Deux espèces nouvelles de Diplopodes cavernicoles des Cyclades: Hyleoglomeris beroni (Glomerida) et Syrioiulus andreevi (Iulida)	1984	Biol. gallo-hellen., 11 (1): 37-49.
383	Schmalfuss & Schawaller 1984	Die Fauna der Ägäis-Insel Santorin. Teil 5. Arachnida und Crustacea	1984	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 371: 1-16.
384	Zapparoli 1984	Note su alcune specie del gen. Eupolybothrus della fauna di Grecia (Chilopoda, Lithobiomorpha)	1984	Fragm. Entomol., 17 (2): 195-209.
385	Andreev 1984	Contribution a l΄ étude des isopodes terrestres de la Grèce. 1. Sur une nouvelle espèce cavernicole du genre Alpioniscus. (Oniscoidea, Trichoniscidae)	1984	Biol. gallo-hellen., 11 (1): 61-64.
386	Condé 1984	Diploures Campodeides (Insectes) de Grèce (1ere note)	1984	Rev. suisse Zool., 91 (1): 173-201.
387	Bonzano & Calandri 1984	Osservazioni biospeleologiche preliminari su alcune cavità della Grecia occidentale	1984	In Calandri, G. Ricerche sul carsismo della Grecia occidentale. Publisher. pp. 75-84.
388	Iliopoulou-Georgudaki & Giagia 1984	Distribution Notes on Myotis myotis (Borkhausen, 1797) (Chiroptera; Vespertilionidae) from Greece, including the Karyotype of Specimens from Lesvos Island	1984	Säugetierk. Mitt., 31: 135-139.
389	Brignoli 1984	Ragni di Grecia XII. Nuovi dati su varie famiglie (Araneae)	1984	Rev. suisse Zool., 91 (2): 281-321.
390	Willemse 1984	Catalogue of the Orthoptera of Greece. Fauna Graeciae I	1984	Hellenic Zoological Society. pp. 275.
391	Mauriès 1984b	Les Diplopodes récoltés en 1982 par P. Beron et S. Andreev dans l΄ île de Thassos (Grèce). Thassoblaniulus, nouveau genre de Blaniulidae, Blaniulinae	1984	Acta Zool. Bulg., 28: 52-59.
392	Boudou-Saltet 1985	Etat actuel de nos connaissances sur les orthoptères cavernicoles de Grèce	1985	Biol. gallo-hellen., 10: 259-263.
1187	Osella 2008	Otiorhynchus (Ioniorhynchus?) vailatianus n. sp. (Coleoptera Curculionidae Entiminae).	2008	Boll. Mus. civ. St. nat. Verona, 32: 87–90
394	Willemse 1985	A key to the Orthoptera species of Greece. Fauna Graeciae II	1985	Hellenic Zoological Society. pp. 288.
395	Deeleman-Reinhold 1985	Contribution à la connaissance des Lepthyphantes du groupe pallidus (Araneae, Linyphiidae) de Yougoslavie, Grece et Chypre	1985	Mem. Biospeol., 12: 37-50.
396	Brignoli 1985	Vue d΄ ensemble sur les araignées de Grèce (Araneae)	1985	Biol. gallo-hellen., 10: 161-169.
397	Casale & Giachino 1985	Nuovi Bathysciinae (Coleoptera, Catopidae) di Grecia e di Turchia	1985	Boll. Mus. Reg. Sci. Nat. Torino, 3 (1): 221-234.
398	Gittenberger 1985	Beiträge zur Kenntnis der Pupillacea. XI. Speleodentorcula beroni gen. & spec. nov. (Mollusca: Gastropoda: Orculidae) aus einer Höhle in Euböa, Griechenland	1985	Zool. Meded., Leiden, 59 (19): 221-227.
399	Beron 1985	On the cave fauna of the Greek islands of Sandorin and Iraklia, with preliminary description of a new pseudoscorpion	1985	Grottes Bulgares, 3: 64-71.
400	Baehr 1985	Die Laufkäfer des Karpathos-Archipels in der Südostägäis (Coleoptera, Carabidae)	1985	Nachrbl. bayer. Ent., 34 (3): 90-97.
1188	Hlaváč & Maughan 2013	Cossoninae.	2013	In: Löbl, I. & Smetana, A. (Eds.), Catalogue of Palaearctic Coleoptera. Vol. 8. Curculionoidea II. Apollo Books, Stenstrup, pp. 217–229.
1186	Magnano & Alonso-Zarazaga 2013	Otiorhynchini.	2013	In: Löbl, I. & Smetana, A. (Eds.), Catalogue of Palaearctic Coleoptera. Vol. 8. Curculionoidea II. Brill, Leiden, pp. 302–347.
403	Deltshev 1985	New data conserning cave spiders (Araneae) in Greece with description of a new Leptonetela (Araneae, Leptonetidae)	1985	Acta Zool. Bulg., 27: 41-45.
404	Schawaller 1985	Liste griechischer Neobisiidae mit neuen Höhlenfunden in Epirus, auf Samos und Kreta (Arachnida, Pseudoscorpiones)	1985	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 386: 1-8.
405	Andreev 1985	Contribution a l΄ étude des isopodes terrestres de la Grèce. 2. Cordioniscus antiparosi n. sp. de l΄ île Antiparos (Isopoda, Oniscoidea, Styloniscidae)	1985	Crustaceana, 49 (2): 161-163.
406	Riedel 1985a	Zur Kenntnis der Balcanodiscus (Gastropoda, Stylommatophora, Zonitidae)	1985	Malak. Abh. Mus. Tierkd., Dresden, 10 (14): 139-147.
407	Etonti & Etonti 1985	Pangaeoniola casalei: nuovo genere e nuova specie di Bathysciinae della Macedonia Orientale greca (Coleoptera, Catopidae)	1985	Lavori Soc. Ven. Sc. Nat., 10: 31-36.
408	Iliopoulou-Georgudaki 1985	New records of the occurrence of the genus Pipistrellus (Chiroptera: Vespertilionidae) in Greece	1985	Mammalia, 49 (1): 131-133.
409	Gardini 1985	Su alcuni Pseudoscorpioni cavernicoli di Grecia (Pseudoscorpionida, Neobisidae)	1985	Boll. Mus. reg. Sci. nat. Torino, 3 (1): 53-64.
1181	Subai 1993	Neue Arten seltener Landschnecken aus Griechenland und aus der Türkei (Gastropoda: Prosobranchia: Cyclophoridae; Pulmonata: Pupillidae, Clausiliidae).	1993	Arch. Molluskenk. 122:63–69.
411	Schmalfuss 1986	Die Land-Isopoden (Oniscidea) Syriens und des Libanon. Teil I	1986	Stuttgart. Beitr. Naturk. Ser. A. (Biol.) (391): 1-21.
412	Iliopoulou-Georgudaki & Ondrias 1986	The greater horseshoe bat, Rhinolophus ferrumequinum (Schreber, 1774), in Greece, with description of a new subspecies	1986	Occasional Papers, the Museum Texas Tech University., 102: 1-8.
413	Gasparo 1986	Corfu	1986	Progressione, 16 (2): 34.
414	Paragamian & Legakis 1986	Ecological and faunistic investigations of the cave Ag. Paraskevi near Skoteino (Greece, Crete)	1986	Rapp. Comm. int. Mer Medit.,, 30 (2): 99.
415	Riedel 1986	Eine neue Allaegopis - Art aus dem Peloponnes (Gastropoda, Stylommatophora, Zonitidae)	1986	Malak. Abh. Mus. Tierkd., Dresden, 11 (8): 87-91.
416	Gittenberger 1986	Zoogeographical notes concerning the terrestrial mollusca of the Ionian Islands Kerkyra, Lefkas and Kephallinia	1986	Biol. gallo-hellen., 12: 363-370.
417	Andreev 1986	Contribution a l΄ étude des isopodes terrestres de la Grèce 3. Sur trois nouvelles donnes sur les Isopodes des Genres Cordioniscus, Alpioniscus et Trichoniscus et nouvelles donnes sur les Isopodes terr. (Oniscoidea)	1986	Biol. gallo-hellen., 11 (2): 153-164.
418	Curcic 1986	On the origin and biogeography of some pseudoscorpions of the Balcan peninsula	1986	Biol. gallo-hellen., 12: 85-92.
419	Reischütz 1986	Die Gattung Balcanodiscus Riedel & Urbanski, 1964 in Griechenland (Gastropoda, Stylommatophora, Zonitidae)	1986	Mitt. zool. Ges. Braunau, 4 (14): 345-354.
420	Pesce 1987	Arpacticoidi stigobionti di Grecia (Crustacea: Copepoda)	1987	In Crucitti, P. Atti del Convegno sul tema "Zoologia Ellenica". Publisher, Roma, 17-5-1986. pp. 25-32.
421	Bartolozzi et al. 1987	Catalogo del Museo Zoologico "La Specola" (Sezione del Museo di Storia Naturale) dell'Università di Firenze. 5. Arachnida Scorpiones: tipi	1987	Atli Soc. Tosc. Sci. Nat., Mem., Serie B,, 94: 293-298.
422	Beron 1987	Results of the studies of the cave fauna of Greece	1987	Biol. gallo-hellen., 12: 125-131.
423	Crucitti 1987	Micromammiferi raccolti nelle missioni zoologiche dela SRSN nella Penisola Ellenica (Mammalia)	1987	In Crucitti, P. Atti del Convegno sul tema "Zoologica Ellenica". Publisher, Roma, 17-5-1986. pp. 48-50.
424	Kollaros et al. 1987	Notes on the systematics of cavernicolous Orthoptera of Crete	1987	Biol. gallo-hellen., 13: 137-140.
425	Casale 1987	Note su Duvalius di Grecia (Coleoptera, Carabidae): descrizione del maschio di D. (Duvalius) oertzeni (Miller, 1884) e di D. (Duvalius) montisoetae n. sp	1987	Boll. Mus. Reg. Sci. Nat. Torino, 5 (1): 27-33.
426	Paragamian et al. 1987	Ecological, electrophoretic and electron microscope investigations on Schizidium perplexum (Isopoda) of Crete	1987	Biol. gallo-hellen., 13: 165-168.
427	Deeleman-Reinhold & Deeleman 1988	Revision des Dysderinae (Araneae, Dysderidae), les especes mediterraneennes occidentales exceptees	1988	Tijdschr. Ent., 131: 141-269.
428	Frank 1988	Über Molluskenfunde von den Inseln Chios , Kreta und Zypern sowie vom griechischen Festland (Thessalien)	1988	Ber. nat.-med. Ver. Innsbruck, 75: 81-90.
429	Gardini 1988	Pseudoscorpioni cavernicoli greci, con descrizione di Chthonius (E.) gasparoi n. sp. della Macedonia (Arachnida, Pseudoscorpionida)	1988	Atti Mem. Comm. Grotte "E. Boegan", 27: 57-62.
430	Iliopoulou-Georgudaki 1988	Chiropterofauna of Lesvos island (East Aegean) and their divergence fron these of Greek Mainland	1988	Bull. Ecol., 19 (2-3): 205-209.
431	Argano & Manicastri 1988	Il Genere Trichonethes Strouhal, 1953 di Tourchia (Isopoda, Oniscoidea, Trichoniscidae)	1988	Fragm. entomol., 21 (1): 9-16.
432	Mendes 1988	Sur deux nouvelles Nicoletiidae (Zygentoma) cavernicoles de Grèce et de Turquie et remarques sur la systématique de la famille	1988	Rev. suisse Zool., 95 (3): 751-772.
433	Crucitti 1988	Chirotteri della Tracia e dell΄ isola di Samotracia	1988	Atti Soc. ital. Sci. nat. Mus. civ. Stor. nat. Milano, 129 (1): 78-84.
434	Lienhard 1988a	Three new extra-neotropical species of Troctopsocidae (Insecta : Psocoptera)	1988	Journal of Natural History, 22: 575-587.
435	Casale 1988	Revisione degli Sphodrina (Coleoptera, Carabidae, Sphordini). Monographia V	1988	Boll. Mus. reg. Sci. Nat. Torino. pp. 1012.
436	Riedel 1988a	Die Gattung Carpathica A.J. Wagner in Griechenland (Gastropoda, Stylommatophora, Daudebardiinae)	1988	Malak. Abh. Mus. Tierkd., Dresden, 13 (9): 85-92.
437	Bank & Menkhorst 1988	Eine neue Doraegopis-Art von Euboea, Griechenland (Gastropoda Pulmonata: Zonitidae)	1988	Basteria, Lisse, 52 (4/6): 147-150.
438	Riedel 1988b	Zur Kenntnis der Gattung Balcanodiscus, II (Gastropoda, Stylommatophora, Zonitidae)	1988	Malak. Abh. Mus. Tierkd., Dresden, 13 (10): 93-104.
439	Reischütz 1988	Beiträge zur Molluskenfauna Thrakiens und Ostmakedoniens, II	1988	Museum, 90 (B): 341-356.
440	Matic & Stavropoulos 1988	Contribution a la connaissance des Chilopodes de Grèce	1988	Biol. gallo-hellen., 14 (1): 33-46.
441	Hermanns & Hermanns-Le 1989	Les araignées cavernicoles	1989	Rev. verv. hist. nat., 46 (4): 85-87.
442	Paragamian 1989	Biological aspects and problems concerning the management of Cretan caves	1989	Bull. Soc. Speleol. Grèce, 19 (2): 200-205.
443	Condé 1989	Palpigrades (Arachnida) des grottes d΄ Europe	1989	Rev. suisse Zool., 96 (4): 823-840.
1183	Rouch 1964	Contribution à la connaissance du genre Monodella (Thermosbaenacés).	1964	Ann. Spéléol., 19(4): 717-727 [dated 1964, issued 25 March 1965].
445	Osella 1989	Due nuovi Curcudionidi endogei (Coleoptera) (XXXTV. Contributo alla connoscenza della curculionidofauna endogea)	1989	Rev. suisse Zool., 96 (2): 451-458.
446	Manicastri & Argano 1989	An analytical synopsis of the troglobitic terrestrial Isopods	1989	Monit. zool. ital. (N. S.) Monogr., 4: 63-67.
447	Deeleman-Reinhold 1989	Rhodera n. gen., hypogea n. sp., Araignée microphtalme de l΄ île de Crète, un Fossile Vivant? (Araneae: Dysderidae: Dysderinae)	1989	Mem. Biospeol., 16: 47-51.
448	Riedel 1990	Neue und bekannte Zonitidae (Gastropoda) aus Griechenland	1990	Ann. Zool. (Wars.), 43 (25): 493-534.
449	Casale et al. 1990	Nuovi Coleotteri endogei e cavernicoli (Carabidae Trechinae e Bembidiinae, Cholevidae Bathysciinae) della Grecia nord-orientale e dei Rodopi Bulgari, e loro significato zoogeografico	1990	Boll. Mus. reg. Sci. Nat. Torino, 8 (2): 545-580.
450	Sket 1990	Is Niphargobates lefkodemonaki sp. n. (Crustacea: Amphipoda) from Kriti (Greece) a Zoogeographical Enigma?	1990	Zool. Jb. Syst., 117: 1-10.
451	Schawaller 1990	Zwei neue höhlenbewohnende Chthonius-Arten (Arachnida, Pseudoscorpiones) von den Griechischen Inseln Santorin und Chios	1990	Ann. Mus. Goulandris, 8: 417-424.
452	Wagenleitner 1990	Morphology and evolution of Cypria cavernae n. sp. (Ostracoda, Crustacea)	1990	Bulletin de la Societe des Naturalistes Luxembourgeois, 90 (August 1989): 199-226.
453	Iliopoulou-Georgudaki & Papapetropoulou 1990	Contribution to the parasitological study of Chiroptera: Ectoparasites of the bats Rhinolophus ferrumequinum, Miniopterus schreibersi and Myotis blythii oxygnathus from the Greek cave of Limnon	1990	Biol. gallo-hellen., 17 (2): 199-202.
454	Enghoff 1990	A new species of Nopoiulus Menge 1851, subgenus Paranopoiulus Lohmander, 1939, from the Caucasus, new records of consubgeneric species, and the systematic position of Thassoblaniulus Mauries 1985	1990	Senckenbergiana biol., 70 (4/6): 323-330.
455	Eason 1990	On Lithobius sitianus Chamberlin, a cavernicolus centipede from Crete (Chilopoda, Lithobiomorpha)	1990	Fragm. Entomol., 22 (2): 257-264.
456	Helversen & Weid 1990	Die Verbreitung einiger Fledermausarten in Griechenland	1990	Bonn. Zool. Beitr., 41 (1): 9-22.
457	Scheller 1990	The Pauropoda and Symphyla of the Geneva Museum IX. Symphyla from middle and south Europe, Turkey and Morocco (Myriapoda, Symphyla)	1990	Rev. suisse Zool., 97 (2): 411-425.
458	Schmalfuss 1990	Die Landisopoden (Oniscidea) Griechenlands. 11. Beitrag: Gattung Chaetophiloscia (Philosciidae)	1990	Rev. suisse Zool., 97 (1): 169-193.
459	Casale & Vigna Taglianti 1990	Note su Duvalius di Grecia con descrizione di cinque specie nuove (Coleoptera, Carabidae)	1990	Fragm. Entomol., 22 (2): 323-368.
460	Casale et al. 1991	Note sulla linea filetica di Phaneropella Jeannel, 1910 con descrizione di tre nuovi sottogeneri e di una nuova specie di Turchia	1991	Ann. Mus. civ. Sci. nat. Brescia, 26: 197-222.
461	Kollaros et al. 1991	Revision of the genus Troglophilus (Orthoptera, Raphidophoridae) in Crete, Greece	1991	Int. J. Speleol., 20: 37-45.
462	Iliopoulou-Georgudaki & Economou-Amilli 1991	Ecological study and management of the cave “Limnon” Peloponnesus, Greece	1991	Mem. Biospeol., 18 (45): 93-97.
463	Dubault & Lassalle 1991	Un nouveau Laemostenus de Grèce (Coleoptera, Carabidae, Sphodrini)	1991	L' Entomologist, 47 (2): 87-90.
464	Paragamian & Zivanovic 1992	Preliminary results of the examination of barn owl (Tyto alba) food pellets from two caves in central Crete, Greece	1992	Bull. Soc. Speleol. Grèce, 20 (1): 95-97.
465	Riedel 1992	The Zonitidae (sensu lato) (Gastropoda, Pulmonata) of Greece	1992	Fauna Graeciae V. Hellenic Zoological Society. pp. 194.
466	Ceuca 1992	Quelques Aspects sur la Faunistique , l' Écologie et la Zoogeographie des Diplopodes de la Région Balkanique	1992	Ber. nat.-med. Ver. Innsbruck (Suppl. 10): 411-429.
467	Bacceti 1992	Notulae orthopterologicae. 50. Su alcuni ortotteroidei del Mediterraneo orientale	1992	Fragm. Entomol., 23 (2): 247-270.
