ID	Short	Title	Year	Section
591	Bilgin et al. 2006	Molecular taxonomy and phylogeography of Miniopterus schreibersii (Kuhl, 1817) (Chiroptera: Vespertilionidae), in the Eurasian transition	2006	Biol. J. Linnean Soc., 87 (2004): 577-582.
592	Osella & Zuppa 2006	Otiorhynchus (Podonebistus) gasparoi sp. n., un Curculionide anoftalmo della Grecia (Coleoptera, Curculionidae, Entiminae, Otiorhynchini)	2006	Rev. suisse Zool., 113 (1): 67-75.
593	Gorochov 2006	A new genus of the tribe Petaloptilini (Orthoptera: Gryllidae: Gryllomorphinae) and the partial revision of species included	2006	Far Eastern Entomologist, 160: 1-11.
594	Benda et al. 2006	Bats (Mammalia: Chiroptera) of the Eastern Mediterranean. Part 4. Bat fauna of Syria: distribution, systematics, ecology	2006	Acta Soc. Zool. Bohemoslov., 70: 1-329.
595	Guéorguiev & Lobo 2006	Аdephagous beetles (Insecta: Coleoptera: Adephaga) in the Western Rhodopes (Bulgaria and Greece)	2006	In Beron, Petar. Biodiversity of Bulgaria. 3. Biodiversity of Western Rhodopes (Bulgaria and Greece) I. Publisher, Sofia. pp. 283-346.
596	Giachino & Vailati 2006	The subterranean environment. Hypogean life, conseptes and collecting techniques	2006	WBA Handbooks 3, Verona: 1-132. pp. 1-132.
597	Chatzaki & Arnedo 2006	Taxonomic revision of the epigean representatives of the spider subfamily Harpacteinae (Araneae: Dysderidae) on the island of Crete	2006	Zootaxa, 1169: 1-32.
598	Gasparo 2006	Indagini faunistiche nelle grotte delle isole di Creta e Lesbos (Grecia)	2006	Progressione, 52 (1/2): 58-60.
599	Schmalfuss 2006	The terrestrial isopods (Isopoda: Oniscidea) of Greece. 23rd contribution: The genus Armadillidium (Armadillidiidae) on the Peloponnese	2006	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 673: 1-102.
600	Fišer et al. 2006	Phylogenetic analysis of the Niphargus orcinus species–aggregate (Crustacea: Amphipoda: Niphargidae) with description of new taxa	2006	Journal of Natural History, 40 (41-43): 2265-2315.
601	Koutrakis et al. 2007	Distribution, Recent Mortalities and Conservation Measures of Crayfish in Hellenic Fresh Waters	2007	Bulletin Français de la Pêche et de la Pisciculture (385): 25-44.
602	Subchev et al. 2007	Crayfish Epibionts Branchiobdella Sp. and Hystricosoma chappuisi (Annelida: Clitellata) in Greece	2007	Bulletin Français de la Pêche et de la Pisciculture (387): 59-66.
603	Guéorguiev 2007a	Description of Ceuthophyes enormis nov. sp . from Albania, and notes on the morphology of Henrotiella eubeensis (Coleoptera: Leiodidae: Leptodirini)	2007	Boll. Mus. civ. St. nat. Verona, 31: 75-82.
604	Guéorguiev 2007b	Biogeography of the Endemic Carabidae (Coleoptera ) in the Central and Eastern Balkan Peninsula	2007	In Fet, Victor;Popov, A. Biogeography and Ecology of Bulgaria. pp. 297-356.
605	Skiba 2007	Zum Vorkommen der Fledermäuse in Kreta (Griechenland)	2007	Nyctalus, 12 (1): 52-60.
606	Weygoldt 2007	Parthenogenesis and reproduction in Charinus ioanniticus (Kritscher, 1959) (Chelicerata, Amblypygi, Charinidae)	2007	Bull. Br. arachnol. Soc., 14 (2): 81-82.
607	Gasparo 2007	Due grotte dell ’ isola di Chios (Grecia)	2007	Progressione, 53 (1/2): 51-52.
608	Deltshev 2008a	Two new spider species, Malthonica bozhkovi sp. nov. and Tegenaria paragamiani sp. nov. from Rhodopy Mountains (Bulgaria and Greece) (Araneae: Agelenidae)	2008	Zootaxa, 1872: 37-44.
609	Gasparo 2008	Le grotte e la fauna cavernicola di Karpathos e Kassos (Dodecaneso, Grecia)	2008	Progressione, 54 (1/2): 87-89.
610	Papadatou et al. 2008	Seasonal Roosting Habits and Population Structure of the Long-fingered Bat Myotis capaccinii in Greece	2008	Journal of Mammalogy, 89 (2): 503-512.
611	Reischütz et al. 2008	Helleniká pantoía, 15: Kein Ende abzusehen – Zur Kenntnis der Gattung Balcanodiscus Riedel & Urbanski 1964 (Gastropoda: Pulmonata: Zonitidae)	2008	Nachrichtenblatt der Ersten Vorarlberger Malakologischen Gesellschaft, 15: 15-17.
612	Rampini et al. 2008	The genus Dolichopoda in Greece. A description of new species from the Ionian Regions and Peloponnisos (Orthoptera, Rhaphidophoridae)	2008	Zootaxa, 17 (1923): 1-17.
